Count,Order ID,Invoice,Payment Date,Order Status,Product ID,Product Name,Quantity,Stock Keeping Unit (SKU),Notes,Price (Rp.),Discount Amount (Rp.),Subsidi Amount (Rp.),Courier,Shipping Price + fee (Rp.),Insurance (Rp.),Total Shipping Fee (Rp.),Total Amount (Rp.),AWB,Jenis Layanan,Bebas Ongkir,Warehouse Origin,Campaign Name,city,user_id
,757917768,INV/20210408/MPL/1158427541,08-04-2021 16:38:01,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1696161119,"miniletics Baju Olahraga Wanita Kaos Motion Short Sleeve - Light Purple, M",1,MSSleeve_LightPurple_M,,184500,0,0,AnterAja(Reguler),7500,0,7500,426500,10001092035819,-,,Shop Location,,Jakarta barat,144
22,758653762,INV/20210409/MPL/1160266002,09-04-2021 14:15:20,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1495263886,"miniletics Motion Shorts 10"" Celana Olahraga Wanita - Brick Red,L",1,MOLShorts_BrickRed_L,,184500,0,0,AnterAja(Reguler),7500,0,7500,391500,10001093803440,-,Yes,Shop Location,,Jakarta timur,29
,758653762,INV/20210409/MPL/1160266002,09-04-2021 14:15:20,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1433494049,"miniletics Embrace Bra (Limited Edition), with A/B Cup Sports Bra - White Zen Camo, M",1,EMB_WhiteZenCamo_M,,199500,0,0,AnterAja(Reguler),7500,0,7500,391500,10001093803440,-,Yes,Shop Location,,Jakarta timur,29
23,758834634,INV/20210409/MPL/1160712246,09-04-2021 18:15:24,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1646771530,"miniletics Ready Anywhere Crop 22"" Celana Wanita - Black,XL",1,RACrop_Black_XL,,249500,0,0,AnterAja(Reguler),7500,0,7500,257000,10001095445220,-,Yes,Shop Location,,Tangerang,45
24,758903223,INV/20210409/MPL/1160880569,09-04-2021 20:10:07,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1719698765,miniletics To be Nimble Headband - Black,1,NimHeadband_Black,,27500,22000,9624,AnterAja(Reguler),11000,0,11000,66000,10001095447804,-,Yes,Shop Location,Kejar Diskon Spesial,Tasikmalaya,212
,758903223,INV/20210409/MPL/1160880569,09-04-2021 20:10:07,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1719698766,miniletics To be Nimble Headband - Navy,1,NimHeadband_Navy,,27500,22000,9624,AnterAja(Reguler),11000,0,11000,66000,10001095447804,-,Yes,Shop Location,Kejar Diskon Spesial,Tasikmalaya,212
25,758822825,INV/20210409/MPL/1160683364,09-04-2021 20:23:00,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1696292985,"miniletics Celana Olahraga Wanita Motion Super High-Rise Shorts 10"" - Plum Perfect, S",1,MSHRShorts_PlumPerfect_S,,184500,0,0,AnterAja(Reguler),10000,0,10000,194500,10001095447291,-,Yes,Shop Location,,Bandung,138
26,758923632,INV/20210409/MPL/1160930410,09-04-2021 20:41:04,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1719698768,miniletics To be Nimble Headband - Icy Blue,1,NimHeadband_IcyBlue,,27500,22000,9624,AnterAja(Reguler),7500,0,7500,62500,10001095446397,-,Yes,Shop Location,Kejar Diskon Spesial,Jakarta barat,83
,758923632,INV/20210409/MPL/1160930410,09-04-2021 20:41:04,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1719698765,miniletics To be Nimble Headband - Black,1,NimHeadband_Black,,27500,22000,9624,AnterAja(Reguler),7500,0,7500,62500,10001095446397,-,Yes,Shop Location,Kejar Diskon Spesial,Jakarta barat,83
27,758930963,INV/20210409/MPL/1160948677,09-04-2021 20:52:15,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1719698766,miniletics To be Nimble Headband - Navy,1,NimHeadband_Navy,Navy. Packing aman ya.,27500,22000,9624,SiCepat(Regular Package),8500,0,8500,36000,000492215642,-,Yes,Shop Location,Kejar Diskon Spesial,Jakarta utara,90
