Product Title,URL,Brand,Seller Name,Marketplace,Seller Type,Location,Sales Quantity,Sales Revenue,,,
Some By Mi Snail Truecica Miracle Repair Serum,https://shopee.co.id/Some-By-Mi-Snail-Truecica-Miracle-Repair-Serum-i.455311481.3991399405,Somebymi,Some By Mi Official Shop,Shopee,Official Store,KOTA TANGERANG,"1,987","Rp267,264,800",1987,Rp267264800,267264800
SOMETHINC Salmon DNA + Marine Collagen Elixir + FREE BAKUCHIOL 5 ML,https://shopee.co.id/SOMETHINC-Salmon-DNA-Marine-Collagen-Elixir-i.195455930.11801204134,Somethinc,SOMETHINC Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,"1,983","Rp35,747,640",1983,Rp35747640,35747640
Everwhite Cica Soothing Serum,https://shopee.co.id/Everwhite-Cica-Soothing-Serum-i.85451896.3244126017,Everwhite,Everwhite Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,"1,894","Rp43,170,205",1894,Rp43170205,43170205
The Body Shop Drops Of Light Brigthening Serum 30ml,https://shopee.co.id/The-Body-Shop-Drops-Of-Light-Brigthening-Serum-30ml-i.28053737.1381710783,The Body Shop,The Body Shop Official,Shopee,Official Store,KOTA TANGERANG SELATAN,"1,858","Rp129,338,566",1858,Rp129338566,129338566
Scarlett Whitening Acne to Glow Mini Series,https://shopee.co.id/Scarlett-Whitening-Acne-to-Glow-Mini-Series-i.255365082.5793510263,Scarlett,Scarlett Whitening Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,"1,852","Rp532,820,000",1852,Rp532820000,532820000
Scarlett Acne Serum,https://shopee.co.id/Scarlett-Acne-Serum-i.110573301.4455344555,Scarlett,Beauty by Shopee,Shopee,Official Store,KOTA JAKARTA UTARA,"1,819","Rp211,530,150",1819,Rp211530150,211530150
[9.9 DISC UP TO 68%] YOU The Radiance White Nourishing + Serum 20ml,https://shopee.co.id/YOU-The-Radiance-White-Nourishing-Serum-20ml-i.72375863.7655069323,Y.O.U,YOU Beauty Official Store,Shopee,Official Store,KOTA TANGERANG,"1,819","Rp272,850,000",1819,Rp272850000,272850000
Scarlett Whitening Brightly to Glow Mini Series,https://shopee.co.id/Scarlett-Whitening-Brightly-to-Glow-Mini-Series-i.255365082.9373885211,Scarlett,Scarlett Whitening Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,"1,793","Rp110,122,000",1793,Rp110122000,110122000
Azarine C White Lightening Serum 20ml,https://shopee.co.id/Azarine-C-White-Lightening-Serum-20ml-i.80036545.1347370981,Azarine,Azarine Cosmetic Official Shop,Shopee,Official Store,KAB. SIDOARJO,"1,717","Rp84,862,200",1717,Rp84862200,84862200
"TRUEVE Galactomyces & Peptide Anti-Aging Serum 30 ML, Serum Wajah",https://shopee.co.id/TRUEVE-Galactomyces-Peptide-Anti-Aging-Serum-30-ML-Serum-Wajah-i.310417610.5156774790,Trueve,Trueve Official Shop ,Shopee,Official Store,KAB. TANGERANG,"1,716","Rp77,746,400",1716,Rp77746400,77746400
Airnderm Aesthetic Radiant Serum (by AIRIN BEAUTY),https://shopee.co.id/Airnderm-Aesthetic-Radiant-Serum-by-AIRIN-BEAUTY--i.112372548.2239633539,Airnderm Aesthetic,Airnderm Aesthetic Official Shop,Shopee,Official Store,KOTA BANDUNG,"1,707","Rp434,179,200",1707,Rp434179200,434179200
Niacid by Slurp Laboratories Korea All in One Face Serum,https://shopee.co.id/Niacid-by-Slurp-Laboratories-Korea-All-in-One-Face-Serum-i.349084850.5077926017,All In,Slurp Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,"1,692","Rp487,775,700",1692,Rp487775700,487775700
Scarlett Whitening Paket Reseller 48 Item,https://shopee.co.id/Scarlett-Whitening-Paket-Reseller-48-Item-i.255365082.5332031961,Scarlett,Scarlett Whitening Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,"1,615","Rp23,420,100",1615,Rp23420100,23420100
